"code_commune","nom_commune","departement","population","nb_cambriolages","taux_pour_mille"
"13119","Carnoux-en-Provence","13",6873,16,4.8470161
"13201","Marseille 1er Arrondissement","13",37599,376,15.552467
"13202","Marseille 2e Arrondissement","13",24378,166,10.1477224
"13203","Marseille 3e Arrondissement","13",58029,238,8.5692043
"13204","Marseille 4e Arrondissement","13",49363,439,14.6691797
"13205","Marseille 5e Arrondissement","13",45702,381,12.2416795
"13206","Marseille 6e Arrondissement","13",38476,270,9.7631637
"13207","Marseille 7e Arrondissement","13",35173,330,14.509225
"13208","Marseille 8e Arrondissement","13",84683,365,7.5229231
"13209","Marseille 9e Arrondissement","13",77406,238,6.1224455
"13210","Marseille 10e Arrondissement","13",60317,142,4.522172
"13211","Marseille 11e Arrondissement","13",59883,263,10.1069804
"13212","Marseille 12e Arrondissement","13",64399,248,7.8748566
"13213","Marseille 13e Arrondissement","13",95112,428,10.0436685
"13214","Marseille 14e Arrondissement","13",60505,233,8.7106697
"13215","Marseille 15e Arrondissement","13",79161,280,8.4713402
"13216","Marseille 16e Arrondissement","13",15854,74,9.4919488
"14007","Amayé-sur-Seulles","14",215,0,0
"14036","Banneville-la-Campagne","14",187,0,0
"14040","Barbeville","14",240,0,0
"14043","Barou-en-Auge","14",67,0,0
"14047","Bayeux","14",12659,27,3.4361058
"14050","La Bazoque","14",193,0,0
"14060","Bénouville","14",1987,6,6.479988
"14061","Le Bény-Bocage",NA,8629,19,4.2792793
"14062","Bény-sur-Mer","14",467,0,0
"14064","Bernières-d'Ailly","14",222,0,0
"14079","Blonville-sur-Mer","14",1621,8,2.6701563
"14080","Le Bô","14",117,0,0
"14061","Souleuvre en Bocage","14",8629,19,4.2792793
"12084","Creissels","12",1568,6,7.1506379
"12089","Decazeville","12",5020,27,7.5062552
"12091","Drulhe","12",448,0,0
"12092","Durenque","12",515,0,0
"12095","Escandolières","12",212,0,0
"12100","Firmi","12",2318,17,12.0919436
"12103","Florentin-la-Capelle","12",286,0,0
"12109","Gissac","12",98,0,0
"12110","Golinhac","12",370,0,0
"12111","Goutrens","12",492,0,0
"12113","Gramond","12",551,0,0
"12116","Huparlac","12",250,0,0
"12129","Lestrade-et-Thouels","12",440,0,0
"12133","Luc-la-Primaube","12",6046,19,5.9828339
"12134","Lugan","12",356,0,0
"12141","Martrin","12",241,0,0
"12143","Mélagues","12",53,0,0
"12144","Meljac","12",141,0,0
"12145","Millau","12",22044,36,2.6600217
"12146","Le Monastère","12",2295,10,8.9063304
"12147","Montagnol","12",149,0,0
"12149","Montclar","12",133,0,0
"12151","Montézic","12",226,0,0
"12152","Montfranc","12",130,0,0
"12155","Fondamente","12",318,0,0
"12163","Murasson","12",204,0,0
"12166","Murols","12",97,0,0
"12174","Olemps","12",3559,14,8.255912
"12176","Onet-le-Château","12",12080,23,3.5988725
"12179","Peux-et-Couffouleux","12",86,0,0
"12180","Peyreleau","12",69,0,0
"12181","Peyrusse-le-Roc","12",197,0,0
"12183","Plaisance","12",219,0,0
"12184","Pomayrols","12",116,0,0
"12187","Prades-d'Aubrac","12",278,0,0
"12190","Prévinquières","12",269,0,0
"12192","Mounes-Prohencoux","12",193,0,0
"12202","Rodez","12",23981,60,3.5823424
